Index,Token,Location,Speaker,Listened Language,Token,Tag1,Tag2,Tag
1,On,"Montréal, Québec",Ron Fournier,French,On,Fr,,Fr
2,passe,"Montréal, Québec",Ron Fournier,French,passe,Fr,,Fr
3,à,"Montréal, Québec",Ron Fournier,French,à,Punct,,Punct
4,un,"Montréal, Québec",Ron Fournier,French,un,Fr,,Fr
5,autre,"Montréal, Québec",Ron Fournier,French,autre,Fr,,Fr
6,appel,"Montréal, Québec",Ron Fournier,French,appel,Fr,,Fr
7,et,"Montréal, Québec",Ron Fournier,French,et,Fr,,Fr
8,on,"Montréal, Québec",Ron Fournier,French,on,Fr,,Fr
9,parle,"Montréal, Québec",Ron Fournier,French,parle,Fr,,Fr
10,à,"Montréal, Québec",Ron Fournier,French,à,Punct,,Punct
11,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
12,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
13,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
14,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
15,bonsoir,"Montréal, Québec",Ron Fournier,French,bonsoir,Fr,,Fr
16,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
17,Salut,"Montréal, Québec",Patrick,French,Salut,Fr,,Fr
18,",","Montréal, Québec",Patrick,French,,,Punct,Punct
19,Ron,"Montréal, Québec",Patrick,English,Ron,NamedEnt,,NamedEnt
20,",","Montréal, Québec",Patrick,French,,,Punct,Punct
21,comment,"Montréal, Québec",Patrick,French,comment,Fr,,Fr
22,ça,"Montréal, Québec",Patrick,French,ça,Fr,,Fr
23,va,"Montréal, Québec",Patrick,French,va,Fr,,Fr
24,?,"Montréal, Québec",Patrick,French,?,Punct,,Punct
25,Ah,"Montréal, Québec",Ron Fournier,French,Ah,Fr,,Fr
26,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
27,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
28,pire,"Montréal, Québec",Ron Fournier,French,pire,Fr,,Fr
29,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
30,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
31,pire,"Montréal, Québec",Ron Fournier,French,pire,Fr,,Fr
32,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
33,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
34,pire,"Montréal, Québec",Ron Fournier,French,pire,Fr,,Fr
35,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
36,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
37,pire..,"Montréal, Québec",Ron Fournier,French,pire..,Fr,,Fr
38,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
39,Pas,"Montréal, Québec",Ron Fournier,French,Pas,Fr,,Fr
40,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
41,Que,"Montréal, Québec",Patrick,French,Que,Fr,,Fr
42,c',"Montréal, Québec",Patrick,French,c',Fr,,Fr
43,est,"Montréal, Québec",Patrick,French,est,Fr,,Fr
44,tu,"Montréal, Québec",Patrick,French,tu,Fr,,Fr
45,penses,"Montréal, Québec",Patrick,French,penses,Fr,,Fr
46,de,"Montréal, Québec",Patrick,French,de,Fr,,Fr
47,ça,"Montréal, Québec",Patrick,French,ça,Fr,,Fr
48,",","Montréal, Québec",Patrick,French,,,Punct,Punct
49,toi,"Montréal, Québec",Patrick,French,toi,Fr,,Fr
50,",","Montréal, Québec",Patrick,French,,,Punct,Punct
51,la,"Montréal, Québec",Patrick,French,la,Fr,,Fr
52,rumeur,"Montréal, Québec",Patrick,French,rumeur,Fr,,Fr
53,que,"Montréal, Québec",Patrick,French,que,Fr,,Fr
54,Toronto,"Montréal, Québec",Patrick,French,Toronto,NamedEnt,,NamedEnt
55,serait,"Montréal, Québec",Patrick,French,serait,Fr,,Fr
56,vendu,"Montréal, Québec",Patrick,French,vendu,Fr,,Fr
57,à,"Montréal, Québec",Patrick,French,à,Punct,,Punct
58,Houston,"Montréal, Québec",Patrick,French,Houston,NamedEnt,,NamedEnt
59,?,"Montréal, Québec",Patrick,French,?,Punct,,Punct
60,Toronto,"Montréal, Québec",Ron Fournier,French,Toronto,NamedEnt,,NamedEnt
61,à,"Montréal, Québec",Ron Fournier,French,à,Punct,,Punct
62,Houston,"Montréal, Québec",Ron Fournier,French,Houston,NamedEnt,,NamedEnt
63,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
64,La,"Montréal, Québec",Ron Fournier,French,La,Fr,,Fr
65,vraie,"Montréal, Québec",Ron Fournier,French,vraie,Fr,,Fr
66,rumeur,"Montréal, Québec",Ron Fournier,French,rumeur,Fr,,Fr
67,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
68,c',"Montréal, Québec",Ron Fournier,French,c',Fr,,Fr
69,est,"Montréal, Québec",Ron Fournier,French,est,Fr,,Fr
70,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
71,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
72,du,"Montréal, Québec",Ron Fournier,French,du,Fr,,Fr
73,tout,"Montréal, Québec",Ron Fournier,French,tout,Fr,,Fr
74,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
75,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
76,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
77,Bien,"Montréal, Québec",Patrick,French,Bien,Fr,,Fr
78,",","Montréal, Québec",Patrick,French,,,Punct,Punct
79,moi,"Montréal, Québec",Patrick,French,moi,Fr,,Fr
80,",","Montréal, Québec",Patrick,French,,,Punct,Punct
81,mon,"Montréal, Québec",Patrick,French,mon,Fr,,Fr
82,beau-frère,"Montréal, Québec",Patrick,French,beau-frère,Fr,,Fr
83,",","Montréal, Québec",Patrick,French,,,Punct,Punct
84,il,"Montréal, Québec",Patrick,French,il,Fr,,Fr
85,était,"Montréal, Québec",Patrick,French,était,Fr,,Fr
86,considéré..,"Montréal, Québec",Patrick,French,considéré..,Fr,,Fr
87,0,"Montréal, Québec",Patrick,French,0,Punct,,Punct
88,Beau-frère..,"Montréal, Québec",Ron Fournier,French,Beau-frère..,Fr,,Fr
89,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
90,Beau-frère,"Montréal, Québec",Ron Fournier,French,Beau-frère,Fr,,Fr
91,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
