Token,Tag
The,Eng
list,Eng
is,Eng
rather,Eng
voluptuously,Eng
extensive,Eng
",Punct
de,Spn
la,Spn
gente,Spn
que,Spn
me,Spn
ha,Spn
brindado,Spn
su,Spn
apoyo,Spn
",Punct
who,Eng
have,Eng
told,Eng
me,Spn
",Punct
over,Eng
the,Eng
past,Eng
three,Eng
years,Eng
or,Eng
so,Eng
:,Punct
go,Eng
for,Eng
it,Eng
",Punct
estaes,Spn
tu,Spn
voz,Spn
.,Punct
For,Eng
their,Eng
incisive,Eng
critiques,Spn
",Punct
their,Eng
questions,Eng
and,Eng
their,Eng
encouragement,Eng
",Punct
I,Eng
am,Eng
deeply,Eng
grateful,Eng
to,Eng
the,Eng
following,Eng
friends,Eng
and,Eng
colleagues,Eng
:,Punct
Jack,NamedEnt
Abecassis,NamedEnt
",Punct
Frances,NamedEnt
R.,Spn
Aparicio,NamedEnt
",Punct
Samuel,NamedEnt
G.,Spn
Armistead,NamedEnt
",Punct
Alicia,NamedEnt
Arrizón,NamedEnt
",Punct
Diana,NamedEnt
Bellessi,NamedEnt
",Punct
Emilie,NamedEnt
Bergmann,NamedEnt
",Punct
Ksenija,NamedEnt
Bilbija,NamedEnt
",Punct
Ivonne,NamedEnt
Bordelois,NamedEnt
",Punct
Elaine,NamedEnt
S.,NamedEnt
Brooks,NamedEnt
",Punct
Luis,NamedEnt
Cárcamo-Huechante,Spn
",Punct
Debra,NamedEnt
A.,Spn
Castillo,Spn
",Punct
Hector,NamedEnt
Mario,NamedEnt
Cavallari,NamedEnt
",Punct
Toni,NamedEnt
Clark,NamedEnt
",Punct
Mary,NamedEnt
Coffey,NamedEnt
",Punct
Grace,Eng
Dávila-López,Spn
",Punct
María,NamedEnt
Donapetry,NamedEnt
",Punct
Robert,NamedEnt
R.,Spn
Ellis,NamedEnt
",Punct
Adrianne,NamedEnt
Estill,NamedEnt
",Punct
David,NamedEnt
William,NamedEnt
Foster,NamedEnt
",Punct
Juan,NamedEnt
Carlos,NamedEnt
Galeano,NamedEnt
",Punct
Alicia,NamedEnt
Garza,NamedEnt
",Punct
Alicia,NamedEnt
Gaspar,NamedEnt
de,Spn
Alba,NamedEnt
",Punct
Rosemary,NamedEnt
Geisdorfer,NamedEnt
Feal,NamedEnt
",Punct
Joshua,NamedEnt
and,Eng
Peggy,NamedEnt
Golden,NamedEnt
",Punct
Martha,NamedEnt
Goldin,NamedEnt
",Punct
Deena,NamedEnt
J.,Spn
González,NamedEnt
",Punct
Verónica,NamedEnt
Grossi,NamedEnt
",Punct
Lucía,NamedEnt
GuerraCunningham,NamedEnt
",Punct
Andrea,NamedEnt
Gutiérrez,NamedEnt
",Punct
Elizabeth,NamedEnt
R.,Spn
Horan,NamedEnt
",Punct
Lillian,NamedEnt
Kaiser,NamedEnt
