Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
The	Eng	O	36.4407946419	10.3298892733	-0.79995173979	35.6408429021
list	Eng	O	24.9477418901	13.3328440174	-0.79995173979	24.1477901503
is	Eng	O	23.1884503461	6.50431857994	-0.79995173979	22.3884986063
rather	Eng	O	33.76560678	5.1648826168	-0.79995173979	32.9656550402
voluptuously	Eng	O	0.526355302706	-13.1722765786	-0.79995173979	-0.273596437084
extensive	Eng	O	33.2432076144	9.10606300643	-0.79995173979	32.4432558746
,	Punct	O	N/A	N/A	N/A	N/A
de	Spn	O	13.8613083221	21.6054699814	-2.37949418743	19.225975794
la	Spn	O	15.0596736711	20.7584499854	-1.00696879935	19.7514811861
gente	Spn	O	12.1069877419	24.2416008085	-1.00696879935	23.2346320092
que	Spn	O	9.91253492829	28.9576207281	-1.00696879935	27.9506519288
me	Spn	O	20.4125145712	19.8593917724	-1.00696879935	18.852422973
ha	Spn	O	16.4502481388	17.1114825146	-1.00696879935	16.1045137152
brindado	Spn	O	4.70714292764	17.0227639553	-1.00696879935	16.015795156
su	Spn	O	11.553321645	18.2146153575	-1.00696879935	17.2076465582
apoyo	Spn	O	3.77883650327	11.7912228185	-1.00696879935	10.7842540191
,	Punct	O	N/A	N/A	N/A	N/A
who	Eng	O	26.8346661196	-0.235257192786	-2.3780926455	24.4565734741
have	Eng	O	37.423951585	9.35655377558	-0.79995173979	36.6239998452
told	Eng	O	27.8785831476	8.09591598597	-0.79995173979	27.0786314079
me	Eng	O	20.4125145712	19.8593917724	-0.79995173979	19.6125628314
,	Punct	O	N/A	N/A	N/A	N/A
over	Eng	O	28.7262827802	1.92042472147	-0.79995173979	27.9263310404
the	Eng	O	36.4407946419	10.3298892733	-0.79995173979	35.6408429021
past	Eng	O	23.5657129351	17.3546973177	-0.79995173979	22.7657611953
three	Eng	O	38.6935581964	3.78637602221	-0.79995173979	37.8936064566
years	Eng	O	40.0946025292	-3.74118701952	-0.79995173979	39.2946507894
or	Eng	O	21.8531675153	8.53192797732	-0.79995173979	21.0532157755
so	Eng	O	23.4187367401	12.3925242118	-0.79995173979	22.6187850003
:	Punct	O	N/A	N/A	N/A	N/A
go	Eng	O	21.2140467794	8.08360356719	-0.79995173979	20.4140950396
for	Eng	O	28.3647832078	11.7395374159	-0.79995173979	27.564831468
it	Eng	O	25.1994714489	5.73644785319	-0.79995173979	24.3995197091
,	Punct	O	N/A	N/A	N/A	N/A
estaes	Spn	O	5.40449312569	16.742540624	-2.37949418743	14.3630464366
tu	Spn	O	11.4576235731	16.3844238655	-1.00696879935	15.3774550661
voz	Spn	O	3.50056081835	14.5640902382	-1.00696879935	13.5571214389
.	Punct	O	N/A	N/A	N/A	N/A
For	Eng	O	28.3647832078	11.7395374159	-2.3780926455	25.9866905623
their	Eng	O	43.9601024774	3.25938546159	-0.79995173979	43.1601507376
incisive	Eng	O	16.3536439	3.24385541486	-0.79995173979	15.5536921602
critiques	Eng	O	13.8750315976	11.9397709839	-0.79995173979	13.0750798578
,	Punct	O	N/A	N/A	N/A	N/A
their	Eng	O	43.9601024774	3.25938546159	-0.79995173979	43.1601507376
questions	Eng	O	38.0710893438	15.7215127722	-0.79995173979	37.271137604
and	Eng	O	34.6599707262	16.3582560041	-0.79995173979	33.8600189864
their	Eng	O	43.9601024774	3.25938546159	-0.79995173979	43.1601507376
encouragement	Eng	O	36.2869872005	-3.30097478717	-0.79995173979	35.4870354607
,	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/ORG	17.8994570652	7.18059700701	-0.79995173979	17.0995053254
am	Eng	O/ORG	17.925277674	9.73847561876	-0.79995173979	17.1253259343
deeply	Eng	O/ORG	16.2969356471	-1.42325634023	-0.79995173979	15.4969839073
grateful	Eng	O/ORG	21.1684615173	0.0668666644528	-0.79995173979	20.3685097775
to	Eng	O/ORG	25.8573893813	12.6868182002	-0.79995173979	25.0574376415
the	Eng	O/ORG	36.4407946419	10.3298892733	-0.79995173979	35.6408429021
following	Eng	O/ORG	35.8170603508	-6.85643619409	-0.79995173979	35.017108611
friends	Eng	O/ORG	37.803140216	8.62201179791	-0.79995173979	37.0031884762
and	Eng	O	34.6599707262	16.3582560041	-0.79995173979	33.8600189864
colleagues	Eng	O	28.1969754674	1.91888040146	-0.79995173979	27.3970237277
:	Punct	O	N/A	N/A	N/A	N/A
Jack	Eng	PERSON/PERS	14.5983603915	8.80856767001	-0.79995173979	13.7984086517
Abecassis	Eng	PERSON/PERS	-3.28540744894	-9.61174435909	-0.79995173979	-4.08535918873
,	Punct	O	N/A	N/A	N/A	N/A
Frances	Eng	PERSON/PERS	30.4688457344	21.4432149351	-0.79995173979	29.6688939946
R.	Spn	PERSON/PERS	2.72230107874	2.97822673283	-2.37949418743	0.598732545406
Aparicio	Spn	PERSON/PERS	2.8663098781	19.0570913523	-1.00696879935	18.0501225529
,	Punct	O	N/A	N/A	N/A	N/A
Samuel	Eng	PERSON/PERS	8.03461444973	7.49871237028	-2.3780926455	5.65652180422
G.	Eng	PERSON/PERS	1.52231894493	1.08509392494	-0.79995173979	0.722367205144
Armistead	Eng	PERSON/PERS	14.265493446	6.31118786248	-0.79995173979	13.4655417062
,	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERS	9.42318723249	14.2071030484	-2.37949418743	11.827608861
Arrizón	Spn	PERSON/PERS	5.1686904662	9.03015049947	-1.00696879935	8.02318170012
,	Punct	O	N/A	N/A	N/A	N/A
Diana	Eng	PERSON/PERS	19.2776708091	15.1933346757	-2.3780926455	16.8995781636
Bellessi	Eng	PERSON/PERS	9.84573461564	2.44707611566	-0.79995173979	9.04578287585
,	Punct	O	N/A	N/A	N/A	N/A
Emilie	Eng	PERSON/PERS	8.23171006982	5.57236959345	-0.79995173979	7.43175833003
Bergmann	Eng	PERSON/PERS	-1.15713097005	-3.31427621081	-0.79995173979	-1.95708270984
,	Punct	O	N/A	N/A	N/A	N/A
Ksenija	Eng	PERSON/PERS	-13.5831762035	-18.549427733	-0.79995173979	-14.3831279433
Bilbija	Eng	PERSON/PERS	0.874522546083	-0.277405951348	-0.79995173979	0.0745708062929
,	Punct	O	N/A	N/A	N/A	N/A
Ivonne	Eng	PERSON/PERS	0.667130857801	-7.89064540664	-0.79995173979	-0.132820881989
Bordelois	Eng	PERSON/PERS	5.51258019562	-1.33553470635	-0.79995173979	4.71262845583
,	Punct	O	N/A	N/A	N/A	N/A
Elaine	Eng	PERSON/PERS	8.30550636428	0.69177948231	-0.79995173979	7.50555462449
S.	Eng	PERSON/PERS	2.26898759315	3.23155792445	-0.79995173979	1.46903585336
Brooks	Eng	PERSON/PERS	23.549296945	2.70040193231	-0.79995173979	22.7493452053
,	Punct	O	N/A	N/A	N/A	N/A
Luis	Spn	PERSON/PERS	8.76594544272	16.4963181197	-2.37949418743	14.1168239323
Cárcamo-Huechante	Spn	PERSON/PERS	-37.216489203	-15.0030182332	-1.00696879935	-16.0099870326
,	Punct	O	N/A	N/A	N/A	N/A
